contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry
SPY260529C00435000,2026-05-12 14:51:07+00:00,435.0,300.19,0.0,0.0,0.0,0.0,20.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00450000,2026-05-01 15:59:06+00:00,450.0,274.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00455000,2026-03-26 16:33:02+00:00,455.0,199.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00460000,2026-04-21 20:09:44+00:00,460.0,248.2,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00470000,2026-03-20 13:48:23+00:00,470.0,192.76,241.48,244.28,0.0,0.0,60.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00475000,2026-03-03 14:30:00+00:00,475.0,205.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00480000,2026-03-27 14:43:26+00:00,480.0,164.61,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00485000,2026-02-19 14:40:44+00:00,485.0,203.85,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00490000,2026-02-25 14:30:05+00:00,490.0,205.75,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00495000,2026-04-29 16:28:13+00:00,495.0,216.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00500000,2026-05-08 15:57:37+00:00,500.0,238.19,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00505000,2026-05-08 17:55:59+00:00,505.0,233.59,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00510000,2026-05-05 14:35:24+00:00,510.0,214.64,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00515000,2026-05-08 16:31:32+00:00,515.0,223.5,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00520000,2026-05-08 16:36:07+00:00,520.0,218.5,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00525000,2026-05-08 16:41:46+00:00,525.0,213.24,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00530000,2026-05-12 14:38:22+00:00,530.0,205.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00535000,2026-05-12 14:19:44+00:00,535.0,202.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00540000,2026-05-12 19:52:23+00:00,540.0,199.39,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00545000,2026-05-12 13:36:34+00:00,545.0,192.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00550000,2026-04-29 18:16:21+00:00,550.0,161.53,0.0,0.0,0.0,0.0,50.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00555000,2026-05-08 13:37:36+00:00,555.0,181.72,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00560000,2026-05-07 16:55:47+00:00,560.0,173.93,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00565000,2026-04-28 14:56:58+00:00,565.0,147.61,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00570000,2026-04-29 18:25:06+00:00,570.0,141.68,0.0,0.0,0.0,0.0,1407.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00575000,2026-05-07 14:06:42+00:00,575.0,161.44,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00580000,2026-04-29 18:28:21+00:00,580.0,131.87,0.0,0.0,0.0,0.0,175.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00585000,2026-05-11 17:09:41+00:00,585.0,155.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00588000,2026-04-28 14:56:58+00:00,588.0,124.85,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00589000,2026-04-14 15:50:12+00:00,589.0,108.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00590000,2026-05-11 19:55:29+00:00,590.0,150.48,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00591000,2026-04-28 14:56:58+00:00,591.0,121.89,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00592000,2026-04-28 17:26:29+00:00,592.0,120.59,0.0,0.0,0.0,0.0,23.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00593000,2026-04-06 15:23:42+00:00,593.0,72.74,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00594000,2026-03-18 18:50:41+00:00,594.0,80.56,118.73,121.54,0.0,0.0,16.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
