contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry
USO260529C00050000,2026-04-17 13:59:46+00:00,50.0,64.48,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00065000,2026-05-01 13:44:00+00:00,65.0,77.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00070000,2026-05-11 15:44:46+00:00,70.0,68.4,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00075000,2026-05-11 14:42:59+00:00,75.0,62.35,0.0,0.0,0.0,0.0,20.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00080000,2026-05-11 18:19:57+00:00,80.0,59.3,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00090000,2026-05-05 14:07:59+00:00,90.0,53.98,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00095000,2026-05-12 17:40:15+00:00,95.0,48.94,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00100000,2026-05-12 18:46:29+00:00,100.0,44.18,0.0,0.0,0.0,0.0,17.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00101000,2026-05-12 13:51:37+00:00,101.0,43.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00103000,2026-05-04 18:09:39+00:00,103.0,44.59,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00104000,2026-04-29 15:56:23+00:00,104.0,45.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00105000,2026-05-12 19:42:23+00:00,105.0,39.49,0.0,0.0,0.0,0.0,113.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00107000,2026-05-07 14:35:51+00:00,107.0,22.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00108000,2026-05-04 17:54:58+00:00,108.0,40.32,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00109000,2026-05-12 19:42:23+00:00,109.0,35.64,0.0,0.0,0.0,0.0,112.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00110000,2026-05-12 17:40:15+00:00,110.0,34.08,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00111000,2026-05-12 14:03:35+00:00,111.0,33.16,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00112000,2026-05-12 17:37:05+00:00,112.0,31.91,0.0,0.0,0.0,0.0,300.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00113000,2026-05-04 15:19:29+00:00,113.0,33.24,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00114000,2026-05-08 17:26:53+00:00,114.0,22.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00115000,2026-05-12 15:11:49+00:00,115.0,29.37,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00116000,2026-05-12 19:27:11+00:00,116.0,28.93,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00117000,2026-05-12 19:27:11+00:00,117.0,27.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00118000,2026-05-12 16:10:15+00:00,118.0,26.92,0.0,0.0,0.0,0.0,95.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00119000,2026-05-08 19:14:50+00:00,119.0,18.52,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00120000,2026-05-12 18:25:26+00:00,120.0,25.7,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00120500,2026-05-12 16:52:57+00:00,120.5,24.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00121000,2026-05-12 16:52:57+00:00,121.0,24.24,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00121500,2026-05-12 16:52:11+00:00,121.5,23.62,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00122000,2026-05-12 13:33:14+00:00,122.0,24.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00122500,2026-05-12 16:33:40+00:00,122.5,22.65,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00123000,2026-05-12 16:33:40+00:00,123.0,22.16,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00123500,2026-05-07 18:16:59+00:00,123.5,15.25,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00124000,2026-05-12 16:56:13+00:00,124.0,21.58,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00124500,2026-05-04 15:52:24+00:00,124.5,26.39,0.0,0.0,0.0,0.0,31.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
USO260529C00125000,2026-05-12 19:38:10+00:00,125.0,21.42,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
