contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,relative_spread
SPY260618C00245000,2026-05-01 17:44:18+00:00,245.0,478.94,486.61,489.26,0.0,0.0,2.0,22,1.5209984887695311,True,REGULAR,USD,call,2026-06-18,487.935,0.005431051267074462
SPY260618C00250000,2026-04-17 13:58:08+00:00,250.0,459.7,481.63,484.58,0.0,0.0,3.0,45,1.518801234130859,True,REGULAR,USD,call,2026-06-18,483.105,0.0061063329917926505
SPY260618C00255000,2026-04-17 13:58:08+00:00,255.0,454.83,476.92,479.77,0.0,0.0,3.0,25,1.5239281616210936,True,REGULAR,USD,call,2026-06-18,478.345,0.0059580428351921014
SPY260618C00260000,2026-04-17 18:19:42+00:00,260.0,451.47,471.75,474.61,0.0,0.0,1.0,11,1.476809256591797,True,REGULAR,USD,call,2026-06-18,473.18,0.006044211505135495
SPY260618C00265000,2026-03-27 13:37:08+00:00,265.0,377.97,466.7,469.65,0.0,0.0,1.0,39,1.450930479736328,True,REGULAR,USD,call,2026-06-18,468.17499999999995,0.006301062636834494
SPY260618C00270000,2026-03-27 13:40:14+00:00,270.0,374.85,461.73,464.39,0.0,0.0,1.0,17,1.4111357568359377,True,REGULAR,USD,call,2026-06-18,463.06,0.005744395974603654
SPY260618C00275000,2026-05-05 16:43:56+00:00,275.0,448.32,456.82,459.7,0.0,0.0,1.0,13,1.4121123144531251,True,REGULAR,USD,call,2026-06-18,458.26,0.006284641906341369
SPY260618C00280000,2026-04-07 19:03:34+00:00,280.0,376.5,451.77,454.41,0.0,0.0,1.0,11,1.366946524658203,True,REGULAR,USD,call,2026-06-18,453.09000000000003,0.005826656955571836
SPY260618C00285000,2026-03-27 13:39:52+00:00,285.0,359.65,446.8,449.75,0.0,0.0,1.0,113,1.3659699670410155,True,REGULAR,USD,call,2026-06-18,448.275,0.006580781886118987
SPY260618C00290000,2026-04-06 13:57:44+00:00,290.0,370.6,441.89,444.83,0.0,0.0,2.0,248,1.3525422998046874,True,REGULAR,USD,call,2026-06-18,443.36,0.006631180079393715
SPY260618C00295000,2026-05-05 16:43:56+00:00,295.0,428.39,436.45,439.84,0.0,0.0,1.0,392,1.3049351159667966,True,REGULAR,USD,call,2026-06-18,438.145,0.007737164637277583
SPY260618C00300000,2026-05-01 14:20:25+00:00,300.0,426.17,431.48,434.82,0.0,0.0,2.0,474,1.2832067089843748,True,REGULAR,USD,call,2026-06-18,433.15,0.007710954634653065
SPY260618C00305000,2026-04-07 19:20:36+00:00,305.0,355.02,426.71,429.53,0.0,0.0,4.0,550,1.2578162109375,True,REGULAR,USD,call,2026-06-18,428.12,0.006586938241614485
SPY260618C00310000,2026-04-14 13:45:25+00:00,310.0,381.99,421.91,425.0,0.0,0.0,1.0,96,1.272708714599609,True,REGULAR,USD,call,2026-06-18,423.45500000000004,0.007297115395968816
SPY260618C00315000,2026-03-24 14:57:20+00:00,315.0,344.65,417.01,419.89,0.0,0.0,1.0,60,1.2504920288085937,True,REGULAR,USD,call,2026-06-18,418.45,0.006882542717170499
SPY260618C00320000,2026-03-24 13:31:46+00:00,320.0,335.76,411.98,415.05,0.0,0.0,1.0,27,1.2355995251464842,True,REGULAR,USD,call,2026-06-18,413.515,0.007424156318392303
SPY260618C00325000,2026-03-27 14:14:25+00:00,325.0,318.2,406.99,409.65,0.0,0.0,1.0,63,1.1953165234375,True,REGULAR,USD,call,2026-06-18,408.32,0.006514498432601803
SPY260618C00330000,2026-03-26 19:20:30+00:00,330.0,320.24,402.01,405.13,0.0,0.0,3.0,15,1.1989786145019532,True,REGULAR,USD,call,2026-06-18,403.57,0.007731000817702021
SPY260618C00335000,2026-03-26 13:45:05+00:00,335.0,322.43,397.04,399.7,0.0,0.0,6.0,9,1.1596721704101562,True,REGULAR,USD,call,2026-06-18,398.37,0.00667720962923907
SPY260618C00340000,2026-03-26 16:49:12+00:00,340.0,312.9,392.06,395.06,0.0,0.0,1.0,134,1.1574749157714845,True,REGULAR,USD,call,2026-06-18,393.56,0.007622725886777111
SPY260618C00345000,2026-03-26 15:50:12+00:00,345.0,310.67,386.79,389.99,0.0,0.0,1.0,156,1.1219526324462892,True,REGULAR,USD,call,2026-06-18,388.39,0.008239141069543472
SPY260618C00350000,2026-04-30 16:53:52+00:00,350.0,366.46,382.18,385.02,0.0,0.0,2.0,167,1.1214643536376954,True,REGULAR,USD,call,2026-06-18,383.6,0.007403545359749674
SPY260618C00355000,2026-05-01 19:51:32+00:00,355.0,368.58,377.13,379.81,0.0,0.0,8.0,385,1.0907027886962892,True,REGULAR,USD,call,2026-06-18,378.47,0.007081142494781638
SPY260618C00360000,2026-04-28 13:36:40+00:00,360.0,353.76,371.74,375.26,0.0,0.0,30.0,131,1.0744675183105472,True,REGULAR,USD,call,2026-06-18,373.5,0.009424364123159255
SPY260618C00365000,2026-04-30 14:04:52+00:00,365.0,348.9,367.18,370.15,0.0,0.0,19.0,128,1.069462660522461,True,REGULAR,USD,call,2026-06-18,368.66499999999996,0.008056094286140455
SPY260618C00370000,2026-05-06 14:19:35+00:00,370.0,361.63,361.86,365.17,5.9100037,1.6614201,10.0,137,1.038456956176758,True,REGULAR,USD,call,2026-06-18,363.515,0.009105538973632456
SPY260618C00375000,2026-04-13 19:35:47+00:00,375.0,312.03,356.81,360.2,0.0,0.0,1.0,201,1.0192920129394532,True,REGULAR,USD,call,2026-06-18,358.505,0.009455935063667136
SPY260618C00380000,2026-04-13 16:17:33+00:00,380.0,303.02,351.83,355.35,0.0,0.0,4.0,139,1.0083057397460937,True,REGULAR,USD,call,2026-06-18,353.59000000000003,0.00995503266495104
SPY260618C00385000,2026-03-30 13:31:00+00:00,385.0,259.03,347.29,350.3,0.0,0.0,1.0,175,1.0061084851074216,True,REGULAR,USD,call,2026-06-18,348.795,0.008629710861680904
SPY260618C00390000,2026-04-16 17:52:49+00:00,390.0,314.15,341.81,345.33,0.0,0.0,1.0,181,0.9711916943359374,True,REGULAR,USD,call,2026-06-18,343.57,0.01024536484559182
SPY260618C00395000,2026-03-26 14:40:14+00:00,395.0,264.01,337.35,340.43,0.0,0.0,1.0,153,0.9772951489257813,True,REGULAR,USD,call,2026-06-18,338.89,0.009088494791820308
SPY260618C00400000,2026-05-05 19:49:57+00:00,400.0,326.49,332.36,335.23,0.0,0.0,6.0,540,0.953003399658203,True,REGULAR,USD,call,2026-06-18,333.795,0.008598091643074355
SPY260618C00405000,2026-04-21 15:42:16+00:00,405.0,304.34,327.01,330.05,0.0,0.0,5.0,183,0.9165047412109376,True,REGULAR,USD,call,2026-06-18,328.53,0.00925334063860232
SPY260618C00410000,2026-04-21 13:30:02+00:00,410.0,302.0,322.49,325.38,0.0,0.0,3.0,90,0.9282233740234375,True,REGULAR,USD,call,2026-06-18,323.935,0.008921542902125384
SPY260618C00415000,2026-04-13 16:29:07+00:00,415.0,269.89,317.45,320.58,0.0,0.0,1.0,96,0.9165047412109376,True,REGULAR,USD,call,2026-06-18,319.015,0.009811450872216026
SPY260618C00420000,2026-04-22 19:40:18+00:00,420.0,293.1,312.49,315.49,0.0,0.0,4.0,109,0.8979502392578124,True,REGULAR,USD,call,2026-06-18,313.99,0.009554444409057613
SPY260618C00425000,2026-05-05 15:04:39+00:00,425.0,300.52,307.08,310.6,0.0,0.0,3.0,182,0.8717053845214844,True,REGULAR,USD,call,2026-06-18,308.84000000000003,0.011397487372102184
SPY260618C00430000,2026-04-17 16:30:43+00:00,430.0,285.0,302.06,305.58,0.0,0.0,3.0,200,0.8540053662109376,True,REGULAR,USD,call,2026-06-18,303.82,0.011585807385952149
SPY260618C00435000,2026-04-23 14:17:04+00:00,435.0,278.24,297.57,300.67,0.0,0.0,3.0,103,0.856324678955078,True,REGULAR,USD,call,2026-06-18,299.12,0.010363733618614679
SPY260618C00440000,2026-05-06 14:45:37+00:00,440.0,293.23,292.09,295.27,11.230011,3.9822733,6.0,412,0.8128680822753906,True,REGULAR,USD,call,2026-06-18,293.67999999999995,0.010828112230999753
SPY260618C00445000,2026-04-07 18:51:09+00:00,445.0,214.74,287.63,290.67,0.0,0.0,11.0,23,0.8256853369140623,True,REGULAR,USD,call,2026-06-18,289.15,0.010513574269410412
SPY260618C00450000,2026-05-01 15:58:17+00:00,450.0,275.83,282.2,285.67,0.0,0.0,2.0,206,0.7972432385253907,True,REGULAR,USD,call,2026-06-18,283.935,0.012221106943490684
SPY260618C00455000,2026-04-23 14:28:21+00:00,455.0,258.75,277.67,280.66,0.0,0.0,1.0,24,0.7946797875976561,True,REGULAR,USD,call,2026-06-18,279.165,0.010710511704547522
SPY260618C00460000,2026-04-17 19:51:18+00:00,460.0,253.97,272.7,275.69,0.0,0.0,15.0,73,0.7806418420410157,True,REGULAR,USD,call,2026-06-18,274.195,0.01090464815186276
SPY260618C00465000,2026-04-29 14:58:28+00:00,465.0,249.24,267.73,270.88,0.0,0.0,1.0,28,0.7708763146972657,True,REGULAR,USD,call,2026-06-18,269.305,0.0116967750320268
SPY260618C00470000,2026-04-24 14:07:35+00:00,470.0,244.43,262.77,265.86,0.0,0.0,1.0,89,0.75586181640625,True,REGULAR,USD,call,2026-06-18,264.315,0.011690596447420811
SPY260618C00475000,2026-04-09 17:51:23+00:00,475.0,209.96,257.81,260.73,0.0,0.0,5.0,103,0.7382838671874999,True,REGULAR,USD,call,2026-06-18,259.27,0.011262390558105512
SPY260618C00480000,2026-04-30 16:53:38+00:00,480.0,237.15,252.85,255.96,0.0,0.0,1.0,215,0.7297390307617188,True,REGULAR,USD,call,2026-06-18,254.405,0.01222460250388166
SPY260618C00485000,2026-05-01 17:51:51+00:00,485.0,240.54,247.48,250.85,0.0,0.0,1.0,142,0.7027617614746093,True,REGULAR,USD,call,2026-06-18,249.165,0.013525174081432001
SPY260618C00490000,2026-04-24 18:17:40+00:00,490.0,226.51,242.44,245.88,0.0,0.0,12.0,339,0.687625194091797,True,REGULAR,USD,call,2026-06-18,244.16,0.014089121887287016
SPY260618C00495000,2026-04-29 18:58:17+00:00,495.0,218.3,237.93,241.08,0.0,0.0,1.0,127,0.6892120922851563,True,REGULAR,USD,call,2026-06-18,239.505,0.013152126260412124
SPY260618C00500000,2026-05-06 14:40:39+00:00,500.0,233.88,232.6,235.91,6.380005,2.8043978,3.0,1133,0.6628451684570313,True,REGULAR,USD,call,2026-06-18,234.255,0.014129901176068825
SPY260618C00505000,2026-04-27 16:42:27+00:00,505.0,212.62,227.53,230.99,0.0,0.0,1.0,155,0.6485630847167969,True,REGULAR,USD,call,2026-06-18,229.26,0.015092035243828003
SPY260618C00510000,2026-05-05 16:00:24+00:00,510.0,215.88,222.67,226.1,0.0,0.0,1.0,436,0.6397130755615235,True,REGULAR,USD,call,2026-06-18,224.385,0.0152862267976915
SPY260618C00515000,2026-05-04 16:52:41+00:00,515.0,204.67,217.97,220.81,0.0,0.0,20.0,552,0.6254920263671876,True,REGULAR,USD,call,2026-06-18,219.39,0.012944983818770243
SPY260618C00520000,2026-05-06 14:36:33+00:00,520.0,213.84,213.13,216.09,7.779999,3.7755988,1.0,4057,0.6203651245117189,True,REGULAR,USD,call,2026-06-18,214.61,0.013792460742742686
SPY260618C00525000,2026-04-30 17:46:13+00:00,525.0,195.69,207.83,211.26,0.0,0.0,1.0,342,0.6033975207519533,True,REGULAR,USD,call,2026-06-18,209.54500000000002,0.01636879906463995
SPY260618C00530000,2026-04-30 18:25:33+00:00,530.0,191.17,203.21,206.32,0.0,0.0,2.0,410,0.5978433770751954,True,REGULAR,USD,call,2026-06-18,204.765,0.015188142504822531
SPY260618C00535000,2026-05-06 13:30:00+00:00,535.0,195.82,197.83,200.98,5.530014,2.9060981,1.0,525,0.5694012786865235,True,REGULAR,USD,call,2026-06-18,199.405,0.015796996063288167
SPY260618C00540000,2026-05-05 19:48:20+00:00,540.0,188.0,193.27,196.22,0.0,0.0,1.0,3490,0.5686078295898438,True,REGULAR,USD,call,2026-06-18,194.745,0.015148014069680806
SPY260618C00545000,2026-05-05 14:39:16+00:00,545.0,180.92,188.32,191.32,0.0,0.0,1.0,509,0.5572554040527344,True,REGULAR,USD,call,2026-06-18,189.82,0.01580444631756401
SPY260618C00550000,2026-05-06 14:06:57+00:00,550.0,182.15,183.37,186.49,4.699997,2.6486318,9.0,12328,0.5471236694335939,True,REGULAR,USD,call,2026-06-18,184.93,0.016871248580544014
SPY260618C00555000,2026-05-05 19:47:35+00:00,555.0,172.81,178.41,181.42,0.0,0.0,1.0,365,0.5325364129638672,True,REGULAR,USD,call,2026-06-18,179.915,0.016730122557874504
SPY260618C00560000,2026-05-04 18:12:26+00:00,560.0,162.0,173.46,176.46,0.0,0.0,7.0,1726,0.5200853656005859,True,REGULAR,USD,call,2026-06-18,174.96,0.017146776406035666
SPY260618C00565000,2026-05-05 14:15:38+00:00,565.0,160.87,168.52,171.27,0.0,0.0,1.0,613,0.5040332800292968,True,REGULAR,USD,call,2026-06-18,169.895,0.016186468112657816
SPY260618C00570000,2026-05-06 14:45:32+00:00,570.0,164.79,163.57,166.57,7.9799957,5.0889587,1.0,5157,0.5399826275634767,True,REGULAR,USD,call,2026-06-18,165.07,0.018174107954201248
SPY260618C00575000,2026-05-06 14:02:50+00:00,575.0,157.93,158.28,161.74,7.0,4.637912,1.0,3077,0.5297898583984376,True,REGULAR,USD,call,2026-06-18,160.01,0.021623648521967426
SPY260618C00580000,2026-05-06 14:09:34+00:00,580.0,152.85,153.69,156.85,4.5400085,3.0611615,1.0,1857,0.5179491564941407,True,REGULAR,USD,call,2026-06-18,155.26999999999998,0.020351645520705848
SPY260618C00585000,2026-05-04 16:55:51+00:00,585.0,135.6,148.3,151.82,0.0,0.0,2.0,410,0.5025074163818359,True,REGULAR,USD,call,2026-06-18,150.06,0.02345728375316528
SPY260618C00590000,2026-05-06 13:47:29+00:00,590.0,142.43,143.82,146.96,5.0599976,3.683481,1.0,1751,0.49133809448242194,True,REGULAR,USD,call,2026-06-18,145.39,0.021597083705894596
SPY260618C00595000,2026-05-06 14:40:56+00:00,595.0,140.0,138.39,141.9,9.0,6.8702292,2.0,1721,0.4752860089111328,True,REGULAR,USD,call,2026-06-18,140.14499999999998,0.02504548860109187
