spot_at_near_expiry,strategy_value,pnl
79.3650016784668,-6463.49983215332,-4100.49983215332
79.72575168609619,-6427.424831390381,-4064.424831390381
80.08650169372558,-6391.349830627442,-4028.3498306274423
80.44725170135499,-6355.274829864501,-3992.274829864501
80.80800170898438,-6319.1998291015625,-3956.1998291015625
81.16875171661377,-6283.124828338623,-3920.124828338623
81.52950172424316,-6247.049827575684,-3884.0498275756836
81.89025173187255,-6210.974826812745,-3847.974826812745
82.25100173950196,-6174.899826049804,-3811.899826049804
82.61175174713135,-6138.824825286865,-3775.8248252868652
82.97250175476074,-6102.749824523926,-3739.749824523926
83.33325176239013,-6066.674823760986,-3703.6748237609863
83.69400177001953,-6030.599822998048,-3667.599822998048
84.05475177764893,-5994.5248222351065,-3631.5248222351065
84.41550178527832,-5958.449821472168,-3595.449821472168
84.77625179290771,-5922.3748207092285,-3559.3748207092285
85.1370018005371,-5886.299819946289,-3523.299819946289
85.4977518081665,-5850.2248191833505,-3487.2248191833505
85.8585018157959,-5814.149818420409,-3451.1498184204092
86.2192518234253,-5778.074817657471,-3415.0748176574707
86.58000183105469,-5741.999816894531,-3378.9998168945312
86.94075183868408,-5705.924816131592,-3342.924816131592
87.30150184631347,-5669.849815368653,-3306.8498153686533
87.66225185394288,-5633.774814605712,-3270.774814605712
88.02300186157227,-5597.699813842773,-3234.6998138427734
88.38375186920166,-5561.624813079834,-3198.624813079834
88.74450187683105,-5525.5498123168945,-3162.5498123168945
89.10525188446044,-5489.474811553956,-3126.474811553956
89.46600189208985,-5453.399810791015,-3090.3998107910147
89.82675189971924,-5417.324810028076,-3054.324810028076
90.18750190734863,-5381.249809265137,-3018.2498092651367
90.54825191497802,-5345.174808502197,-2982.1748085021973
90.90900192260742,-5309.099807739259,-2946.0998077392587
91.26975193023682,-5273.024806976317,-2910.0248069763174
91.63050193786621,-5236.949806213379,-2873.949806213379
91.9912519454956,-5200.874805450439,-2837.8748054504395
92.352001953125,-5164.7998046875,-2801.7998046875
92.71275196075439,-5128.7248039245615,-2765.7248039245615
93.0735019683838,-5092.64980316162,-2729.64980316162
93.43425197601319,-5056.574802398682,-2693.5748023986816
93.79500198364258,-5020.499801635742,-2657.499801635742
94.15575199127197,-4984.424800872803,-2621.4248008728027
94.51650199890136,-4948.349800109864,-2585.349800109864
94.87725200653077,-4912.274799346923,-2549.274799346923
95.23800201416016,-4876.199798583984,-2513.1997985839844
95.59875202178955,-4840.124797821045,-2477.124797821045
95.95950202941894,-4804.0497970581055,-2441.0497970581055
96.32025203704833,-4767.974796295167,-2404.974796295167
96.68100204467774,-4731.899795532226,-2368.8997955322257
97.04175205230713,-4695.824794769287,-2332.824794769287
97.40250205993652,-4659.749794006348,-2296.7497940063477
97.76325206756592,-4623.674793243408,-2260.674793243408
98.1240020751953,-4587.59979248047,-2224.5997924804697
98.48475208282471,-4551.524791717528,-2188.5247917175284
98.8455020904541,-4515.44979095459,-2152.44979095459
99.2062520980835,-4479.37479019165,-2116.3747901916504
99.56700210571289,-4443.299789428711,-2080.299789428711
99.92775211334228,-4407.224788665772,-2044.2247886657724
100.28850212097169,-4371.149787902831,-2008.1497879028311
100.64925212860108,-4335.074787139893,-1972.0747871398926
101.01000213623047,-4298.999786376953,-1935.9997863769531
101.37075214385986,-4262.924785614014,-1899.9247856140137
101.73150215148925,-4226.849784851075,-1863.8497848510751
102.09225215911866,-4190.774784088134,-1827.7747840881339
102.45300216674805,-4154.699783325195,-1791.6997833251953
102.81375217437744,-4118.624782562256,-1755.6247825622559
103.17450218200683,-4082.549781799317,-1719.5497817993169
103.53525218963622,-4046.4747810363774,-1683.4747810363774
103.89600219726563,-4010.399780273437,-1647.399780273437
104.25675220489502,-3974.3247795104976,-1611.3247795104976
104.61750221252441,-3938.2497787475586,-1575.2497787475586
104.9782522201538,-3902.1747779846196,-1539.1747779846196
105.3390022277832,-3866.09977722168,-1503.0997772216801
105.6997522354126,-3830.02477645874,-1467.0247764587398
106.060502243042,-3793.9497756958003,-1430.9497756958003
106.42125225067139,-3757.8747749328613,-1394.8747749328613
106.78200225830078,-3721.7997741699223,-1358.7997741699223
107.14275226593017,-3685.724773406983,-1322.7247734069829
107.50350227355958,-3649.6497726440425,-1286.6497726440425
107.86425228118897,-3613.574771881103,-1250.574771881103
108.22500228881836,-3577.499771118164,-1214.499771118164
108.58575229644775,-3541.424770355225,-1178.424770355225
108.94650230407714,-3505.3497695922856,-1142.3497695922856
109.30725231170655,-3469.2747688293452,-1106.2747688293452
109.66800231933594,-3433.199768066406,-1070.1997680664058
110.02875232696533,-3397.124767303467,-1034.1247673034668
110.38950233459472,-3361.049766540528,-998.0497665405278
110.75025234222412,-3324.9747657775883,-961.9747657775883
111.11100234985352,-3288.899765014648,-925.899765014648
111.4717523574829,-3252.82476425171,-889.8247642517099
111.8325023651123,-3216.7497634887695,-853.7497634887695
112.1932523727417,-3180.6747627258305,-817.6747627258305
112.55400238037109,-3144.599761962891,-781.5997619628911
112.9147523880005,-3108.5247611999507,-745.5247611999507
113.27550239562987,-3072.4497604370126,-709.4497604370126
113.63625240325928,-3036.3747596740723,-673.3747596740723
113.99700241088867,-3000.2997589111333,-637.2997589111333
114.35775241851806,-2964.224758148194,-601.2247581481938
114.71850242614747,-2928.1497573852535,-565.1497573852535
115.07925243377684,-2892.0747566223154,-529.0747566223154
115.44000244140625,-2855.999755859375,-492.999755859375
115.80075244903564,-2819.924755096436,-456.924755096436
116.16150245666503,-2783.8497543334965,-420.84975433349655
116.52225246429444,-2747.774753570556,-384.7747535705562
116.88300247192382,-2711.699752807618,-348.6997528076181
117.24375247955322,-2675.6247520446777,-312.62475204467773
117.60450248718261,-2639.5497512817387,-276.54975128173874
117.965252494812,-2603.4747505187993,-240.47475051879928
118.32600250244141,-2567.399749755859,-204.39974975585892
118.68675251007079,-2531.324748992921,-168.32474899292083
119.0475025177002,-2495.2497482299805,-132.24974822998047
119.40825252532959,-2459.1747474670415,-96.17474746704147
119.76900253295898,-2423.099746704102,-60.09974670410202
120.12975254058838,-2387.0247459411617,-24.024745941161655
120.49050254821776,-2350.9497451782236,12.050254821776434
120.85125255584717,-2314.874744415283,48.1252555847168
121.21200256347656,-2278.799743652344,84.2002563476558
121.57275257110595,-2242.7247428894048,120.27525711059525
121.93350257873536,-2206.6497421264644,156.3502578735356
122.29425258636473,-2170.5747413635263,192.4252586364737
122.65500259399414,-2134.499740600586,228.50025939941406
123.01575260162353,-2098.424739837647,264.57526016235306
123.37650260925292,-2062.3497390747075,300.6502609252925
123.73725261688233,-2026.2747383117671,336.7252616882329
124.09800262451171,-1990.1997375488293,372.80026245117074
