strike,Q,side,delta_K
600.0,0.57,put,35.0
635.0,0.83,put,22.5
645.0,0.97,put,7.5
650.0,1.05,put,5.0
655.0,1.15,put,5.0
660.0,1.31,put,5.0
665.0,1.52,put,5.0
670.0,1.64,put,5.0
675.0,1.85,put,3.5
677.0,2.05,put,2.0
679.0,2.25,put,1.5
680.0,2.13,put,1.5
682.0,2.18,put,1.5
683.0,2.33,put,1.0
684.0,2.29,put,1.0
685.0,2.35,put,1.0
686.0,3.21,put,1.0
687.0,3.05,put,1.0
688.0,3.06,put,1.5
690.0,2.76,put,1.5
691.0,3.51,put,1.0
692.0,2.9,put,1.0
693.0,3.05,put,1.0
694.0,3.15,put,1.0
695.0,3.31,put,1.0
696.0,3.42,put,1.0
697.0,3.49,put,1.0
698.0,3.38,put,1.0
699.0,3.62,put,1.0
700.0,3.66,put,1.0
701.0,3.9,put,1.0
702.0,3.77,put,1.0
703.0,4.39,put,1.0
704.0,4.08,put,1.0
705.0,4.25,put,1.0
706.0,4.35,put,1.0
707.0,4.48,put,1.0
708.0,5.17,put,1.0
709.0,4.8,put,1.0
710.0,4.83,put,1.0
711.0,4.98,put,1.0
712.0,5.16,put,1.0
713.0,5.38,put,1.0
714.0,5.68,put,1.0
715.0,5.7,put,1.0
716.0,5.9,put,1.0
717.0,6.25,put,1.0
718.0,6.16,put,1.0
719.0,6.47,put,1.0
720.0,6.82,put,1.0
721.0,6.9,put,1.0
722.0,7.23,put,1.0
723.0,7.32,put,1.0
724.0,7.42,put,1.0
725.0,8.01,put,1.0
726.0,8.06,put,1.0
727.0,8.25,put,1.0
728.0,9.08,put,1.0
729.0,9.05,put,1.0
730.0,9.45,put,1.0
731.0,10.48,put,1.0
732.0,10.12,put,1.0
733.0,10.11,put,1.0
734.0,10.25,put,1.0
735.0,11.0,put,1.0
736.0,11.35,put,1.0
737.0,11.81,put,1.0
738.0,12.2,put,1.0
739.0,13.065,atm,1.0
740.0,12.76,call,1.0
741.0,12.53,call,1.0
742.0,11.67,call,1.0
743.0,11.2,call,1.0
744.0,10.68,call,1.0
745.0,10.09,call,1.0
746.0,9.54,call,1.0
747.0,7.98,call,1.5
749.0,8.47,call,1.5
750.0,8.03,call,3.0
755.0,5.76,call,5.0
760.0,4.35,call,5.0
765.0,3.18,call,5.0
770.0,2.0,call,7.5
780.0,0.94,call,7.5
785.0,0.67,call,5.0
