strike,Q,side,delta_K
75.0,0.04,put,25.0
100.0,0.48,put,17.5
110.0,1.2,put,7.5
115.0,1.8,put,4.0
118.0,2.3,put,2.0
119.0,2.62,put,1.0
120.0,2.66,put,1.0
121.0,3.02,put,1.0
122.0,3.21,put,1.0
123.0,3.37,put,1.0
124.0,3.62,put,1.0
125.0,3.92,put,1.0
126.0,4.25,put,1.0
127.0,4.49,put,0.75
127.5,4.63,put,0.5
128.0,4.92,put,0.75
129.0,5.19,put,1.0
130.0,5.54,put,1.0
131.0,5.86,put,1.25
132.5,6.43,put,1.0
133.0,6.54,put,0.75
134.0,9.25,put,1.0
135.0,7.65,put,1.0
136.0,12.75,put,1.0
137.0,8.35,put,1.0
138.0,8.91,put,1.0
139.0,11.75,put,1.0
140.0,9.85,put,1.0
141.0,12.3,put,1.0
142.0,10.85,put,1.0
143.0,11.675,atm,1.0
144.0,11.73,call,1.0
145.0,11.98,call,1.0
146.0,11.5,call,1.0
147.0,10.6,call,1.5
149.0,10.5,call,1.25
149.5,6.5,call,0.5
150.0,9.97,call,5.25
160.0,6.83,call,5.5
161.0,5.2,call,1.25
162.5,4.28,call,1.0
163.0,5.83,call,0.75
164.0,7.4,call,1.0
165.0,5.8,call,8.0
180.0,3.4,call,17.5
200.0,1.67,call,22.5
225.0,0.6,call,25.0
250.0,0.25,call,25.0
