strike,Q,side,delta_K
25.0,0.02,put,5.0
30.0,0.01,put,7.5
40.0,0.03,put,7.5
45.0,0.65,put,5.0
50.0,0.01,put,5.0
55.0,0.21,put,5.0
60.0,0.05,put,5.0
65.0,0.05,put,5.0
70.0,0.05,put,3.0
71.0,0.06,put,1.0
72.0,0.12,put,1.0
73.0,0.22,put,1.0
74.0,0.15,put,1.0
75.0,0.08,put,1.0
76.0,0.25,put,1.0
77.0,0.2,put,1.0
78.0,0.11,put,1.0
79.0,0.23,put,1.0
80.0,0.15,put,1.0
81.0,0.2,put,1.0
82.0,0.35,put,1.0
83.0,0.25,put,1.0
84.0,0.27,put,1.0
85.0,0.19,put,1.0
86.0,0.29,put,1.0
87.0,0.43,put,1.0
88.0,0.46,put,1.0
89.0,0.24,put,1.0
90.0,0.25,put,1.0
91.0,0.5,put,1.0
92.0,0.33,put,1.0
93.0,0.36,put,1.0
94.0,0.41,put,1.0
95.0,0.46,put,1.0
96.0,0.3,put,1.0
97.0,0.35,put,1.0
98.0,0.7,put,1.0
99.0,0.52,put,1.0
100.0,0.64,put,1.0
101.0,0.65,put,1.0
102.0,0.72,put,1.0
103.0,0.86,put,1.0
104.0,0.92,put,1.0
105.0,0.98,put,1.0
106.0,1.4,put,1.0
107.0,1.2,put,1.0
108.0,1.2,put,1.0
109.0,1.3,put,1.0
110.0,1.4,put,1.0
111.0,1.58,put,1.0
112.0,1.74,put,1.0
113.0,1.79,put,1.0
114.0,1.86,put,1.0
115.0,2.09,put,1.0
116.0,2.31,put,1.0
117.0,2.47,put,1.0
118.0,2.67,put,1.0
119.0,2.87,put,1.0
120.0,3.15,put,1.0
121.0,3.35,put,1.0
122.0,3.7,put,1.0
123.0,3.85,put,1.0
124.0,4.2,put,1.0
125.0,4.48,put,1.0
126.0,4.7,put,1.0
127.0,5.06,put,1.0
128.0,5.4,put,1.0
129.0,5.7,put,1.0
130.0,6.05,put,1.0
131.0,6.53,put,1.0
132.0,6.67,put,1.0
133.0,7.29,put,1.0
134.0,7.6,put,1.0
135.0,8.22,put,1.0
136.0,8.8,put,1.0
137.0,9.37,put,1.0
138.0,9.62,put,1.0
139.0,9.95,put,1.0
140.0,10.61,put,1.0
141.0,11.3,put,1.0
142.0,11.85,put,1.0
143.0,12.25,put,1.0
144.0,13.165,atm,1.0
145.0,13.0,call,1.0
146.0,12.5,call,1.0
147.0,12.18,call,1.0
148.0,11.79,call,1.0
149.0,10.96,call,1.0
150.0,11.14,call,1.0
151.0,10.85,call,1.0
152.0,10.33,call,1.0
153.0,9.95,call,1.0
154.0,9.72,call,1.0
155.0,9.32,call,1.0
156.0,9.12,call,1.0
157.0,8.75,call,1.0
158.0,8.6,call,1.0
159.0,7.5,call,1.0
160.0,7.96,call,1.0
161.0,7.2,call,1.0
162.0,7.45,call,1.0
163.0,6.86,call,1.0
164.0,7.2,call,1.0
165.0,6.73,call,3.0
170.0,5.65,call,5.0
175.0,4.75,call,5.0
180.0,4.14,call,5.0
185.0,3.43,call,5.0
190.0,2.97,call,5.0
195.0,2.51,call,5.0
200.0,2.16,call,5.0
205.0,2.0,call,5.0
210.0,1.65,call,5.0
215.0,1.42,call,5.0
220.0,1.45,call,5.0
225.0,1.11,call,5.0
230.0,1.02,call,7.5
240.0,0.72,call,7.5
245.0,0.61,call,5.0
250.0,0.56,call,12.5
270.0,0.41,call,12.5
275.0,0.63,call,5.0
