open_date,close_date,days_held,expiry,call_strike,put_strike,contracts,open_credit,close_cost,commissions,pnl,pnl_pct_of_credit,exit_reason,underlying_at_open,underlying_at_close
2024-06-07,2024-07-01,24,2024-07-07,547.42,523.96,1,353.33073356608224,166.5341365132426,2.6,184.19659705283965,0.5213149594822608,take_profit_50pct,534.010009765625,545.3400268554688
2024-07-05,2024-08-02,28,2024-08-04,567.36,545.1,1,335.01724163771627,1228.9701670276343,2.6,-896.552925389918,-2.6761396548045124,stop_loss_-200pct,554.6400146484375,532.9000244140625
2024-08-09,2024-09-03,25,2024-09-08,565.42,508.67,1,864.6360450625934,55.507196408732455,2.6,806.528848653861,0.9327957737356116,take_profit_50pct,532.989990234375,552.0800170898438
2024-09-06,2024-10-04,28,2024-10-06,563.72,522.84,1,619.9791769868839,954.0449804228199,2.6,-336.665803435936,-0.5430275982366718,managed_dte,540.3599853515625,572.97998046875
2024-10-11,2024-10-21,10,2024-11-10,596.15,567.15,1,437.31607510025157,210.22357105303988,2.6,224.4925040472117,0.5133415321989899,take_profit_50pct,579.5800170898438,583.6300048828125
2024-10-25,2024-11-22,28,2024-11-24,594.85,567.18,1,416.9961538900097,319.6389831117887,2.6,94.75717077822097,0.22723751740697085,managed_dte,579.0399780273438,595.510009765625
2024-11-29,2024-12-05,6,2024-12-29,622.97,587.24,1,540.2576260875747,132.6483093353323,2.6,405.0093167522424,0.7496596016334458,take_profit_50pct,602.5499877929688,606.6599731445312
2024-12-06,2024-12-18,12,2025-01-05,621.75,597.35,1,367.0098267467168,1340.5755649474072,2.6,-976.1657382006905,-2.659780929719815,stop_loss_-200pct,607.8099975585938,586.280029296875
2024-12-20,2025-01-08,19,2025-01-19,613.31,574.53,1,587.3281937958793,258.50415908525235,2.6,326.22403471062694,0.5554373826365352,take_profit_50pct,591.1500244140625,589.489990234375
2025-01-10,2025-01-31,21,2025-02-09,607.7,560.08,1,723.0751986844737,347.38141844284587,2.6,373.09378024162777,0.5159819904214882,take_profit_50pct,580.489990234375,601.8200073242188
2025-02-07,2025-02-18,11,2025-03-09,623.91,583.42,1,613.2873698018841,261.99806241036623,2.6,348.68930739151784,0.5685577831223855,take_profit_50pct,600.77001953125,611.489990234375
2025-02-21,2025-03-10,17,2025-03-23,620.22,584.73,1,536.5355412639673,2476.2079577377167,2.6,-1942.2724164737492,-3.620025640609297,stop_loss_-200pct,599.9400024414062,560.5800170898438
2025-03-14,2025-03-31,17,2025-04-13,594.45,539.08,1,842.5822046583335,333.7561094495135,2.6,506.22609520881997,0.600803212327626,take_profit_50pct,562.8099975585938,559.3900146484375
2025-04-04,2025-05-02,28,2025-05-04,552.61,469.78,1,1268.257236497263,1842.772276941983,2.6,-577.11504044472,-0.45504573034302215,managed_dte,505.2799987792969,566.760009765625
2025-05-09,2025-05-22,13,2025-06-08,597.12,539.76,1,873.4876603296768,364.0500669326519,2.6,506.83759339702493,0.5802458539663071,take_profit_50pct,564.3400268554688,583.0900268554688
2025-05-23,2025-06-13,21,2025-06-22,605.22,559.53,1,693.5297544280943,221.23891125929384,2.6,469.6908431688004,0.6772468523086248,take_profit_50pct,579.1099853515625,597.0
2025-06-20,2025-07-18,28,2025-07-20,614.56,579.07,1,536.6174557061029,1329.1663696563282,2.6,-795.1489139502254,-1.4817798144563457,managed_dte,594.280029296875,627.5800170898438
2025-07-25,2025-08-18,24,2025-08-24,651.71,626.14,1,384.8164834312229,122.94719971853416,2.6,259.26928371268866,0.6737478639192105,take_profit_50pct,637.0999755859375,643.2999877929688
2025-08-22,2025-08-29,7,2025-09-21,667.44,628.71,1,585.3571839369167,285.36692699023223,2.6,297.3902569466845,0.5080492135528892,take_profit_50pct,645.3099975585938,645.0499877929688
2025-09-05,2025-09-25,20,2025-10-05,665.17,633.79,1,472.8772912298666,138.12931810396356,2.6,332.14797312590304,0.7023978086620473,take_profit_50pct,647.239990234375,658.0499877929688
2025-09-26,2025-10-22,26,2025-10-26,677.0,650.44,1,399.78469695859644,128.8877355303988,2.6,268.2969614281976,0.6711036302021928,take_profit_50pct,661.8200073242188,667.7999877929688
2025-10-24,2025-11-07,14,2025-11-23,703.68,657.43,1,700.321316159156,267.09280191264037,2.6,430.62851424651564,0.6149013378719582,take_profit_50pct,677.25,670.969970703125
2025-11-14,2025-12-03,19,2025-12-14,697.3,652.91,1,671.9851173315931,318.18544259607523,2.6,351.1996747355178,0.5226301381942917,take_profit_50pct,671.9299926757812,683.8900146484375
2025-12-05,2025-12-15,10,2026-01-04,712.73,665.41,1,717.0056611758639,331.14865781658006,2.6,383.25700335928383,0.5345243756245326,take_profit_50pct,685.6900024414062,680.72998046875
2025-12-19,2025-12-29,10,2026-01-18,701.06,665.24,1,540.456121747232,208.07779551845175,2.6,329.77832622878026,0.6101851990549115,take_profit_50pct,680.5900268554688,687.8499755859375
2026-01-02,2026-01-21,19,2026-02-01,699.9,670.62,1,440.7242013238829,218.61027725872532,2.6,219.51392406515757,0.4980754934849594,take_profit_50pct,683.1699829101562,685.4000244140625
2026-01-23,2026-02-11,19,2026-02-22,710.07,673.6,1,550.6365766867845,276.8522913948717,2.6,271.1842852919127,0.49249232029525886,take_profit_50pct,689.22998046875,691.9600219726562
2026-02-13,2026-02-19,6,2026-03-15,709.66,660.82,1,740.5075934490498,322.2300869614231,2.6,415.6775064876266,0.5613413152882504,take_profit_50pct,681.75,684.47998046875
2026-02-20,2026-03-20,28,2026-03-22,712.8,671.91,1,618.0405052104248,2342.4722695267446,2.6,-1727.0317643163198,-2.794366630918981,stop_loss_-200pct,689.4299926757812,648.5700073242188
2026-03-27,2026-04-08,12,2026-04-26,661.79,613.32,1,735.2422553428526,2366.1083678565883,2.6,-1633.4661125137357,-2.2216706135204785,stop_loss_-200pct,634.0900268554688,676.010009765625
2026-04-10,2026-04-29,19,2026-05-10,718.12,650.46,1,1029.9539312753495,385.78413144058186,2.6,641.5697998347677,0.622911161706367,take_profit_50pct,679.4600219726562,711.5800170898438
2026-05-01,2026-05-12,11,2026-05-31,745.07,702.33,1,646.0092629847594,508.75481913435283,2.6,134.65444385040658,0.2084404227088975,end_of_backtest,720.6500244140625,738.1799926757812
