spot_move,iv_shift,strategy_value_after_7d,pnl_after_7d
-0.05,-0.03,153.11656348012886,-1055.883436519871
-0.05,0.0,286.82796750965645,-922.1720324903436
-0.05,0.03,421.7481233558246,-787.2518766441754
-0.02,-0.03,608.708606936732,-600.291393063268
-0.02,0.0,775.2084638106837,-433.7915361893163
-0.02,0.03,899.722960787959,-309.277039212041
0.0,-0.03,1144.9895799898159,-64.01042001018413
0.0,0.0,1238.8470895134844,29.847089513484434
0.0,0.03,1300.1726596192725,91.17265961927251
0.02,-0.03,1755.8076286758023,546.8076286758023
0.02,0.0,1730.0236535510467,521.0236535510467
0.02,0.03,1709.3069397010706,500.30693970107063
0.05,-0.03,2453.475415036837,1244.4754150368371
0.05,0.0,2327.4500585488513,1118.4500585488513
0.05,0.03,2227.7592443747435,1018.7592443747435
